Country,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Ghana,3029859,3028435,3639025,2567062,3301674,3030344,3263615,3411199,3295020,3790882,4209288,3661745,4309505,5088912,5153605,5468649,6204804,6244973,6370451,6101182,6733777,7232698,7438500,7153326,6802875,9159489,9618768,8925351,7497608,9709648,11226017,14315347,14179876,14754583,16114450,16547069,13739546,16682630,16918159,16001330
Greece,50125423,51508771,54789372,56284930,59771927,58274423,62576331,67051874,73230803,83425552,83401121,84982711,84296366,86442177,86979098,89132008,93820932,98641499,97958378,102999026,105385700,105020957,109089754,109546749,113930967,112472438,114592335,111125242,104354753,97361427,94549566,91430548,81736129,78662108,74961086,71372744,74855081,71807547,65735923,52235141
Greenland,527616,516624,362736,567920,509296,326096,234496,545936,472656,624506,609701,595600,545710,495715,534120,596742,617614,596843,594492,667505,618086,579721,649778,639923,644089,662254,653156,677758,592953,678834,725334,578472,561216,520837,523816,524924,542002,548021,553636,514413
Grenada,58624,62288,62288,62288,62288,65952,73280,95264,102592,106256,109920,117248,120912,142896,150224,153888,168544,175872,194192,190528,194192,205184,216176,205184,216176,230832,238160,252816,252816,260144,252816,271136,304112,234496,260144,267472,278464,307776,332271,294834
Guadeloupe,707152,681504,732800,791424,806080,857376,916000,1007600,1077216,1316162,1397423,1408602,1547974,1662784,1733922,1824359,1837671,2223073,2171102,2125185,2258428,2356499,2387588,2553717,2382748,2336210,2488238,2439371,2379249,2505064,2512302,2484681,2435135,2431506,2470355,2526638,2479907,2457695,2561883,2561883
Guatemala,3949467,3606792,3159905,3401061,3496849,3664595,3918400,4075277,4188155,4972245,4951134,5919209,5577778,6751174,7078550,6571124,7501859,8639397,8805825,9764762,10233260,10721662,10447951,11180307,12109271,12176554,12144909,10893166,11442047,11097682,11237312,11557767,12783614,13785180,15822364,16912995,17291925,18646365,21934091,18937908
Guinea,989280,981952,952640,978288,992944,996608,992944,1025920,1044240,1003936,1025920,1058896,1088208,1124848,1165152,1234768,1289728,1363008,1432624,1491248,1560864,1623152,1700096,1762384,1824672,1890624,1967568,1996880,2110464,2484192,2594112,2421904,2110464,2165424,2451216,2744336,3238976,3685984,3716950,3394049
Guinea-Bissau,142896,142896,142896,161216,172208,183200,194192,216176,230832,172208,175872,179536,183200,183200,183200,183200,201520,172208,194192,146560,150224,153888,194192,201520,212512,216176,230832,227168,234496,238160,241824,245488,245488,260144,278464,304112,304112,311440,314056,286774
Guyana,1799024,1403312,1245760,1403312,1417968,1044240,1308048,1403312,1183472,1128512,1106528,1040576,1044240,1458272,1568192,1652464,1806352,1828336,1832000,1747728,1744064,1714752,1857648,1927264,1619488,1509568,1780704,1707424,1908944,1886960,1960240,1960240,1905280,1972021,2003336,2345135,2319487,2480982,2486530,2212691
Haiti,758928,817303,886028,903151,929520,830222,898793,1007669,1023120,994997,976137,888522,684199,183200,875696,1018592,1348352,1234768,1271408,1634144,1471293,1785235,1700183,1651995,1724339,1752042,1772405,1760637,1888301,2136827,2272898,2264181,2706250,2704625,2660657,2983089,3104001,3367809,3289028,2919510
Honduras,1807843,1749493,1976452,1957357,1885699,1824977,2144191,2464967,2680274,2416737,2438592,2685697,2823529,3161731,3766619,3816897,3944794,4737307,4613286,4929308,5602252,5868022,6616876,7194159,6830896,7676539,8205736,8437644,7939122,7890362,8735738,9093702,9240065,9309030,9802030,9292976,8857228,10049978,10788920,9659570
Hong Kong,18616656,19622767,20912106,22224787,22881405,25525918,28085645,29284781,30141179,27147690,28463072,32918561,34777844,31079293,31267054,28908528,30496981,38924984,42549016,40282786,37801699,39485079,43202329,41569401,43730550,41914808,43572438,42790584,41579400,40062903,43149716,42742062,44306891,45491754,42392071,43388679,42553287,42738009,41789463,31238788
Hungary,86352010,86600858,88856201,90561281,85828377,83240792,84136472,78054788,75917200,73225500,69656214,62084798,63389238,61786518,61391277,63024745,61623522,61163628,61663704,58365110,59968172,59004668,61756139,60132085,60277822,59641574,58553641,57248081,51470656,52068804,50191342,46757505,43590214,43678123,46614820,47072006,49452258,49407953,49079712,48275451
Iceland,1748000,1593849,1542530,1809746,1622635,1780225,1845061,1841119,1896457,2228425,2106051,2254963,2411258,2364690,2467100,2522576,2618531,2637554,2840387,2932131,2863426,2991283,2984898,3109114,2976356,3152914,3496090,3811449,3727679,3624647,3501314,3496829,3482726,3459260,3536220,3487423,3604886,3663377,3550747,2935990
India,315265795,325683632,352530101,361889225,397952960,426698557,455758841,492144025,541134880,578518195,615924923,656033132,677916275,716917563,762120642,825918856,859686238,877698067,951748674,978919215,992560136,1023027203,1059616164,1125471265,1185953364,1259744276,1358152218,1462814598,1612816599,1677887585,1780129996,1963586045,2036937081,2185855918,2268567478,2382223220,2433855754,2599805717,2625968148,2441792313
Indonesia,100297052,105583980,105183842,112460239,121597383,122166074,123878476,132721211,131673524,150284643,180621138,203577157,219762164,222855120,226542578,255067457,280733833,215970801,243950117,274726688,303341381,310818287,340441487,344393729,348988697,346705556,388255228,366293293,401957338,451931468,504761970,521527856,496074375,498973167,551475340,560845982,575175792,614884277,660593985,589500368
Iran,112995835,137770986,149584899,149863607,159856662,147603415,158562621,175142708,190197820,209943734,226010886,226934892,235606908,263820316,271581982,273768887,267045699,305503483,379501400,369149582,394759364,397624829,413664624,441946593,463499413,503636232,512659548,534644072,559024857,569771991,577336334,602738337,610210045,641842053,628626244,637361528,712256079,707157389,733365847,745035109
Iraq,31901494,30374435,38465143,39771002,44196437,47229553,52183787,67127427,72241825,49057049,45185441,58889385,63129812,71089200,74083308,69283215,68079443,72101517,71681430,71715533,84556041,86322167,90785437,113635050,112764261,97964939,61169409,91803403,102968937,110065833,135274148,152814840,163676973,165150848,165646516,194361365,211703077,211325685,222991395,210829146
Ireland,26061509,25566267,25728681,25549450,26749804,28550302,30226336,29883637,30061099,32943604,33673494,33494498,33715571,34837654,35852203,37468513,38804279,40708288,42439518,45248509,47606827,46080800,45683185,46165841,48155797,47603979,47663727,47366674,42180319,41793915,38097299,38241975,37291763,36909012,38687772,40155799,39133421,39195155,37275319,33348699
Israel,21017606,23854861,23709025,23498479,24613013,26348255,27068916,29702603,31394252,35824360,36148458,42082498,44234508,47474582,49865527,51935752,54865705,56009768,54756050,59519380,63023569,59301358,62414678,58679234,56524139,62148963,62799906,67980176,63860946,68286901,68594737,74784579,63131686,60351834,62974924,61219126,58873198,60546051,62393584,56350861
